2ed0551a0cc06a63bbae280bcd5e4da2c9efdbb1,,data/2ed0551a0cc06a63bbae280bcd5e4da2c9efdbb1.pdf
7f8faa22f94509590a636adfbc18875777894ab1,Update Makefile,data/7f8faa22f94509590a636adfbc18875777894ab1.pdf
b8adcb1b8e470aec3ee16ca813a80f7c31b768db,Update make_page.py,data/b8adcb1b8e470aec3ee16ca813a80f7c31b768db.pdf
c61a30b84f8166138eaea23334af8c84d0ecdba5,Fix make_page.py,data/c61a30b84f8166138eaea23334af8c84d0ecdba5.pdf
5ff98b92d59d2d2c16a2f3b7cd738a5d84eca3b0,Change paper.tex,data/5ff98b92d59d2d2c16a2f3b7cd738a5d84eca3b0.pdf
6e496cec63f3d8bfb1037a93a2d15013b2734010,Extend make_page.py,data/6e496cec63f3d8bfb1037a93a2d15013b2734010.pdf
8daa3744469bef0c3a7cc63213c2ba9334b22201,Use table,data/8daa3744469bef0c3a7cc63213c2ba9334b22201.pdf
6ea2b530d5d835626f932e3dd85853d5d5562c20,Fix table,data/6ea2b530d5d835626f932e3dd85853d5d5562c20.pdf
a04fe41ea99356511b8843389985cede36782582,Fix table again,data/a04fe41ea99356511b8843389985cede36782582.pdf
4c40e8c34a52d05a6dfc55f61dcf5c7ffe8bf8a5,Add bootstrap,data/4c40e8c34a52d05a6dfc55f61dcf5c7ffe8bf8a5.pdf
b9230d725a03eac18de29c0eb93b178a9c68e1a4,Use bootstrap,data/b9230d725a03eac18de29c0eb93b178a9c68e1a4.pdf
e5b1cbbd4134960f258efd8bcf4434b7ae16fa2c,Remove .pdf from hash,data/e5b1cbbd4134960f258efd8bcf4434b7ae16fa2c.pdf
bda98c68b606259e93540c071071e36b0925468a,Try setting up table column,data/bda98c68b606259e93540c071071e36b0925468a.pdf
bda98c68b606259e93540c071071e36b0925468a,Try setting up table column,data/bda98c68b606259e93540c071071e36b0925468a.pdf
4dd57765d7780544ac1eb396bd16747fe8ae35fa,Add git details,data/4dd57765d7780544ac1eb396bd16747fe8ae35fa.pdf
2014c1f14cd5bd12e48a9a73d09e39ea21c498ff,Fix paper,data/2014c1f14cd5bd12e48a9a73d09e39ea21c498ff.pdf
1dc4cc03e9a8a825a3ff4452b0ee0aecbcd60aa1,Change page layout,data/1dc4cc03e9a8a825a3ff4452b0ee0aecbcd60aa1.pdf
0be1636d5a1b4027da481841a8b055932606710b,Add table border,data/0be1636d5a1b4027da481841a8b055932606710b.pdf
c602cd424d4f6aaeb8d76a326d3511a3ff8369ae,Update paper.tex,data/c602cd424d4f6aaeb8d76a326d3511a3ff8369ae.pdf
bd5b26b47a22b6c501db0b3775b5aab3269a6623,Add data to run.py,data/bd5b26b47a22b6c501db0b3775b5aab3269a6623.pdf
5b26d8d3a461d97e43cc065d50695e76bc5ef0db,Update paper.tex with table,data/5b26d8d3a461d97e43cc065d50695e76bc5ef0db.pdf
ba58e5b813828df2d278182bc710531fcdebf52b,Make table nicer,data/ba58e5b813828df2d278182bc710531fcdebf52b.pdf
f3b517b0c88a5bf0ffce53a00b7a5eb414912a75,Center table,data/f3b517b0c88a5bf0ffce53a00b7a5eb414912a75.pdf
